gid,ev_id,iso3disno,iso3year,glide,iso3,id_nat,id_cat,year,start_date,end_date,time_gmt,time_local,duration
9015,DR3667,,COL1988,,COL,DR3667COL,,1988,00000000,00000000,,00000000,0
9016,DR3194,,COL1987,,COL,DR3194COL,,1987,00000000,00000000,,00000000,0
9017,DR3211,,COL1987,,COL,DR3211COL,,1987,00000000,00000000,,00000000,0
9018,DR3215,,COL1987,,COL,DR3215COL,,1987,00000000,00000000,,00000000,0
9019,DR3233,,COL1987,,COL,DR3233COL,,1987,00000000,00000000,,00000000,0
9020,DR3236,,COL1987,,COL,DR3236COL,,1987,00000000,00000000,,00000000,0
9021,DR2797,,COL1986,,COL,DR2797COL,,1986,00000000,00000000,,00000000,0
9022,DR2839,,COL1986,,COL,DR2839COL,,1986,00000000,00000000,,00000000,0
9023,DR2843,,COL1986,,COL,DR2843COL,,1986,00000000,00000000,,00000000,0
9024,DR2399,,COL1985,,COL,DR2399COL,,1985,00000000,00000000,,00000000,0
9025,DR2401,,COL1985,,COL,DR2401COL,,1985,00000000,00000000,,00000000,0
9027,DR2410,,COL1985,,COL,DR2410COL,,1985,00000000,00000000,,00000000,0
9028,DR2416,,COL1985,,COL,DR2416COL,,1985,00000000,00000000,,00000000,0
9029,DR2421,,COL1985,,COL,DR2421COL,,1985,00000000,00000000,,00000000,0
9030,DR2425,,COL1985,,COL,DR2425COL,,1985,00000000,00000000,,00000000,0
9031,DR2426,,COL1985,,COL,DR2426COL,,1985,00000000,00000000,,00000000,0
9035,DR2004,,COL1984,,COL,DR2004COL,,1984,00000000,00000000,,00000000,0
9046,DR1457,,COL1983,,COL,DR1457COL,,1983,00000000,00000000,,00000000,0
9032,DR2439,,COL1985,,COL,DR2439COL,,1985,00000000,00000000,,00000000,0
9033,DR1995,,COL1984,,COL,DR1995COL,,1984,00000000,00000000,,00000000,0
9084,DR1017,,COL1982,,COL,DR1017COL,,1982,00000000,00000000,,00000000,0
9036,DR2013,,COL1984,,COL,DR2013COL,,1984,00000000,00000000,,00000000,0
9037,DR2023,,COL1984,,COL,DR2023COL,,1984,00000000,00000000,,00000000,0
9038,DR2034,,COL1984,,COL,DR2034COL,,1984,00000000,00000000,,00000000,0
9039,DR2039,,COL1984,,COL,DR2039COL,,1984,00000000,00000000,,00000000,0
9040,DR2043,,COL1984,,COL,DR2043COL,,1984,00000000,00000000,,00000000,0
9041,DR2045,,COL1984,,COL,DR2045COL,,1984,00000000,00000000,,00000000,0
9045,DR1451,,COL1983,,COL,DR1451COL,,1983,00000000,00000000,,00000000,0
9066,DR1498,,COL1983,,COL,DR1498COL,,1983,00000000,00000000,,00000000,0
9042,DR2060,,COL1984,,COL,DR2060COL,,1984,00000000,00000000,,00000000,0
9043,DR2062,,COL1984,,COL,DR2062COL,,1984,00000000,00000000,,00000000,0
9044,DR1446,,COL1983,,COL,DR1446COL,,1983,00000000,00000000,,00000000,0
9067,DR1017,,COL1982,,COL,DR1017COL,,1982,00000000,00000000,,00000000,0
9068,DR283,,COL1980,,COL,DR283COL,,1980,00000000,00000000,,00000000,0
9048,DR1471,,COL1983,,COL,DR1471COL,,1983,00000000,00000000,,00000000,0
9049,DR1479,,COL1983,,COL,DR1479COL,,1983,00000000,00000000,,00000000,0
9050,DR1498,,COL1983,,COL,DR1498COL,,1983,00000000,00000000,,00000000,0
9051,DR1528,,COL1983,,COL,DR1528COL,,1983,00000000,00000000,,00000000,0
9069,DR6223,,COL1995,,COL,DR6223COL,,1995,00000000,00000000,,00000000,0
9070,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9071,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9052,DR1545,,COL1983,,COL,DR1545COL,,1983,00000000,00000000,,00000000,0
9053,DR1593,,COL1983,,COL,DR1593COL,,1983,00000000,00000000,,00000000,0
9054,DR1008,,COL1982,,COL,DR1008COL,,1982,00000000,00000000,,00000000,0
9055,DR1017,,COL1982,,COL,DR1017COL,,1982,00000000,00000000,,00000000,0
9056,DR1048,,COL1982,,COL,DR1048COL,,1982,00000000,00000000,,00000000,0
9072,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9073,DR1471,,COL1983,,COL,DR1471COL,,1983,00000000,00000000,,00000000,0
9074,DR1498,,COL1983,,COL,DR1498COL,,1983,00000000,00000000,,00000000,0
9075,DR1017,,COL1982,,COL,DR1017COL,,1982,00000000,00000000,,00000000,0
9076,DR1498,,COL1983,,COL,DR1498COL,,1983,00000000,00000000,,00000000,0
9077,DR1017,,COL1982,,COL,DR1017COL,,1982,00000000,00000000,,00000000,0
9078,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9057,DR283,,COL1980,,COL,DR283COL,,1980,00000000,00000000,,00000000,0
9058,DR290,,COL1980,,COL,DR290COL,,1980,00000000,00000000,,00000000,0
9059,DR310,,COL1980,,COL,DR310COL,,1980,00000000,00000000,,00000000,0
9060,DR1441,,COL1983,,COL,DR1441COL,,1983,00000000,00000000,,00000000,0
9061,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9062,DR1471,,COL1983,,COL,DR1471COL,,1983,00000000,00000000,,00000000,0
9063,DR6223,,COL1995,,COL,DR6223COL,,1995,00000000,00000000,,00000000,0
9064,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9085,DR2401,,COL1985,,COL,DR2401COL,,1985,00000000,00000000,,00000000,0
9086,DR8042,,COL2001,,COL,DR8042COL,,2001,00000000,00000000,,00000000,0
9087,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9088,DR283,,COL1980,,COL,DR283COL,,1980,00000000,00000000,,00000000,0
9089,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9090,DR1471,,COL1983,,COL,DR1471COL,,1983,00000000,00000000,,00000000,0
9091,DR6223,,COL1995,,COL,DR6223COL,,1995,00000000,00000000,,00000000,0
9092,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9093,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9094,DR6223,,COL1995,,COL,DR6223COL,,1995,00000000,00000000,,00000000,0
9095,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9096,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9097,DR6223,,COL1995,,COL,DR6223COL,,1995,00000000,00000000,,00000000,0
9098,DR5183,,COL1992,,COL,DR5183COL,,1992,00000000,00000000,,00000000,0
9099,DR4823,,COL1991,,COL,DR4823COL,,1991,00000000,00000000,,00000000,0
9100,DR4149,,COM1989,,COM,DR4149COM,,1989,00000000,00000000,,00000000,0
9101,DR4147,,COM1989,,COM,DR4147COM,,1989,00000000,00000000,,00000000,0
9102,DR7763,,CRI2000,,CRI,DR7763CRI,,2000,00000000,00000000,,00000000,0
9103,DR7765,,CRI2000,,CRI,DR7765CRI,,2000,00000000,00000000,,00000000,0
9104,DR7496,,CRI1999,,CRI,DR7496CRI,,1999,00000000,00000000,,00000000,0
9113,DR5859,,CRI1994,,CRI,DR5859CRI,,1994,00000000,00000000,,00000000,0
9105,DR7148,,CRI1998,,CRI,DR7148CRI,,1998,00000000,00000000,,00000000,0
9106,DR7151,,CRI1998,,CRI,DR7151CRI,,1998,00000000,00000000,,00000000,0
9114,DR5862,,CRI1994,,CRI,DR5862CRI,,1994,00000000,00000000,,00000000,0
9123,DR2403,,CRI1985,,CRI,DR2403CRI,,1985,00000000,00000000,,00000000,0
9148,DR7496,,CRI1999,,CRI,DR7496CRI,,1999,00000000,00000000,,00000000,0
9149,DR7156,,CRI1998,,CRI,DR7156CRI,,1998,00000000,00000000,,00000000,0
9150,DR6825,,CRI1997,,CRI,DR6825CRI,,1997,00000000,00000000,,00000000,0
9151,DR6234,,CRI1995,,CRI,DR6234CRI,,1995,00000000,00000000,,00000000,0
9107,DR7156,,CRI1998,,CRI,DR7156CRI,,1998,00000000,00000000,,00000000,0
9108,DR6821,,CRI1997,,CRI,DR6821CRI,,1997,00000000,00000000,,00000000,0
9116,DR4821,,CRI1991,,CRI,DR4821CRI,,1991,00000000,00000000,,00000000,0
9142,DR7496,,CRI1999,,CRI,DR7496CRI,,1999,00000000,00000000,,00000000,0
9109,DR6825,,CRI1997,,CRI,DR6825CRI,,1997,00000000,00000000,,00000000,0
9110,DR6222,,CRI1995,,CRI,DR6222CRI,,1995,00000000,00000000,,00000000,0
9111,DR6227,,CRI1995,,CRI,DR6227CRI,,1995,00000000,00000000,,00000000,0
9143,DR7156,,CRI1998,,CRI,DR7156CRI,,1998,00000000,00000000,,00000000,0
9876,DR4007,,DZA1989,,DZA,DR4007DZA,,1989,00000000,00000000,,00000000,0
9112,DR6234,,CRI1995,,CRI,DR6234CRI,,1995,00000000,00000000,,00000000,0
9115,DR5869,,CRI1994,,CRI,DR5869CRI,,1994,00000000,00000000,,00000000,0
9117,DR4101,,CRI1989,,CRI,DR4101CRI,,1989,00000000,00000000,,00000000,0
9118,DR3650,,CRI1988,,CRI,DR3650CRI,,1988,00000000,00000000,,00000000,0
9119,DR3655,,CRI1988,,CRI,DR3655CRI,,1988,00000000,00000000,,00000000,0
9120,DR2793,,CRI1986,,CRI,DR2793CRI,,1986,00000000,00000000,,00000000,0
9121,DR2804,,CRI1986,,CRI,DR2804CRI,,1986,00000000,00000000,,00000000,0
9122,DR2810,,CRI1986,,CRI,DR2810CRI,,1986,00000000,00000000,,00000000,0
